text,Sentiment,label
RT Me he tomado un tiempo para traducir la estrategia de Apple y Google contra el coronavirus Espero que os guste https,positive,1
Apple 5G iphone innovation IoT digitaltwins,positive,1
Join 5 people right now at Huge iPhone 12 changes inside amp out leak in Apple 2020 roadmap report cheers,positive,1
Get Apple TV with best price and selection freeshipping to,positive,1
RT After June 30 many apps will be removed from the App Store How to find out if yours is in danger and how to keep it Our iO,positive,1
RT 50 OFF Sale You are gonna LOVE Leo THE PRINCE amp THE WEDDING PLANNER Kinde US Apple,positive,1
RT ipad pro 2020 12 9 ipadpro2020 apple ipadpro 2020 PLUVSong,positive,1
The latest technisch gesehen Thanks to google apple,positive,1
Find out about the Collab NewYorkCity podcast podcastlife anchor spotify apple google Bronx Alexa amazon,positive,1
Amazon Apple MagicKeyboard,positive,1
iPhone8 1 iPhone8Plus iPhone8 Apple iPhone iPhone8Plus,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
technews technology tech pro technologynews oneplus smartphone gadgets instatech android innovation,positive,1
Today s office COVID19 LockdownSA lockdown MondayMotivation Apple country,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Nuevo episodio de En este Podcast de CinemaTempo Historia y ochoas conver,positive,1
Put an X on it apple iphone,positive,1
Apple,positive,1
RT New OppoA92s Design OnePlus8Series OnePlus Samsung apple Google,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
DINO MAKER Make Dinos and Levels to share indiegame gamedev indiedev retro indievideogames ios indiegames,positive,1
Self Quarantine Portrait 04 13 20 quarantinelife covid 19 coronavirus aarongrayum art nashville,positive,1
Apple and Google join forces to develop Contact Tracing app against Coronavirus,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus securitya,positive,1
RT tk NO 2749 apple IPHONE,positive,1
RT No This is not a picture of me feeding AlbertTheTortoise tortoise turtle childrensbooks writer pic,positive,1
Is this true,positive,1
RT An excerpt from my article Google s Disturbing Attempt to Change Behavior During a Pandemic Regarding Google amp now Ap,negative,0
RT Monday Apple deals are here Pick up a 2020 Mac mini for 729 check out s Apple sale with prices as low as 80,positive,1
RT CM AirPods iPhone Apple AirPods,positive,1
RT Apple Google Covid 19 1 Covid 19,positive,1
RT Here s another chance to enter the Apple MacBook Pro Competition to Win this amazing prize Retweet amp Followus to en,positive,1
RT 1 AirPods Pro 3 colofa URL URL,positive,1
RT Apple planning iPad like design for next generation of iPhones smaller HomePod Apple,positive,1
Another virus in the making is there no phone which I own fully Apple Google Privacy CoronaVirus,positive,1
Special report Inside a Naples ICU treating Coronavirus Android Apple BSkyB,positive,1
How To Use A Neutral Density Filter For Daytime Long Exposures CameraGear Apple,negative,0
COVID 19 voici comment le syst me de contact tracing d Apple et Google pourrait viter,positive,1
RT I want some now kombucha health wellness fitness antibiotic healthade pink lady ap,negative,0
Listening to the hold music for a call to Apple service Well done this music is jamming I could hang out on hold all day,positive,1
RT 1 RT DM 4 18,positive,1
TechNews Apple s new iCloud feature for iPhone iPad and Mac will have you kissing Dropbox goodbye Read the full,positive,1
Coronavirus Google Apple,positive,1
tracking the lockdown days on my iPhone apple iPhone covi d19 lockdown,positive,1
RT iPhone11 Pro iPhone11 Pro LINE,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus http,positive,1
Covid 19 mentale Canon casa iorestoacasa ugodeangelis apple blackandwhitephotography buona pasquetta a tutti,positive,1
RT 1 RT DM 4 18,positive,1
RT HappyEaster2020 FREE SciFi Romance eBook Apple Amazon Smashwor,positive,1
Secure IT management services for every big and small need info visit here business,positive,1
Apple and Google want to turn your phone into a Covid tracking machine,positive,1
WhoMakesTheCall breakingnews france24 RTnews nhk news AlJazeera bbc bbcnews tech Android npr nprnews,positive,1
RT From Cherry to plum apricot and apple Himachal has a long battle at hand COVID2019,negative,0
El sistema operativo iOS 13 4 1 result peor que la anterior se supone q es la versi n con covid 19 ios1341 ios apple marciano,positive,1
iPhoneAddict Coronavirus le syst me de suivi d Apple Google va tre utilis par le Royaume Uni Angleterre,positive,1
And so it begins,positive,1
Apple Google have teamed up to build system level COVID19 contact tracing interoperable APIs for iOS,positive,1
Apple shifting production from China to India and Vietnam Apple China India manufacturing Vietnam,positive,1
RT iTunes Amazon 1500 RT Apple iTunes iTunes,positive,1
RT Monday Apple deals are here Pick up a 2020 Mac mini for 729 check out s Apple sale with prices as low as 80,positive,1
Angry Birds ontwikkelaar verdiende 152 miljoen met zijn APP Verdien geld met het exploiteren van je apps Begin sn,negative,0
RT Me he tomado un tiempo para traducir la estrategia de Apple y Google contra el coronavirus Espero que os guste https,positive,1
RT 11 Apple SIM iPadPro 12 9 1TB 2 amp 4 14,positive,1
Apple is readying a new iPhone for fall to replace the iPhone 11 Pro this fall The top end iPhone 11 Pro success,positive,1
Apple AirPods Pro Wireless Case In Ear H rlurar Endast 2558kr Spara 310kr fr,positive,1
O primeiro App do Green Team foi lan ado em 2019 e conta uma hist ria ecol gica de Natal As crian as v o adorar es,negative,0
RT Researchers used 3D printed fake fingerprints to unlock fingerprint scanners on Apple and Samsung phones laptops and e,negative,0
Apple te dir pronto d nde puedes realizarte una prueba de detecci n de COVID 19 apple iphone pandemic pandemia,positive,1
O primeiro App do Green Team foi lan ado em 2019 e conta uma hist ria ecol gica de Natal As crian as v o adorar es,negative,0
Trop hate de d couvrir les lunettes Apple Glasses Smartphones IoT AR VR MixedReality EmergingTech,negative,0
Get the Apple iPhone iPad iPod APP on your phone ready for tonight s TV Live,positive,1
Apple plans an iPad like design for the next iPhone apple design iPadlike iphone plans,positive,1
A battery indicator in macbook touch bar would definitely be a great add on apple productdesign design,positive,1
O primeiro App do Green Team foi lan ado em 2019 e conta uma hist ria ecol gica de Natal As crian as v o adorar es,negative,0
Monday Apple deals are here Pick up a 2020 Mac mini for 729 check out Woot s Apple sale with prices as low as,positive,1
RT iPhone Android minne,positive,1
A joint Apple Google project to track coronavirus exposure risks announced last week has sparked privacy and se,positive,1
RT Esim Apple iPhone,positive,1
AarogyaSetu inspires Google amp Apple India s Coronavirus indigenous tracker app is appreciated across world and,positive,1
RT cook Here are direct links to review Dlive,positive,1
AnimalCrossing ACNH NintendoSwitch apple,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The reasons Pez Outlaw was targeted by Pez Corpora h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Pez Outlaw PR Department Apple Disney Netf h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Pez Outlaw Mutant Army 00PER H00TER Netflix A h,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
Google and Apple team up for contact tracing COVID 19 app ABC News via technology App,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Pez Corporate Fraud Netflix Pez Color War Amazo h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Pez Outlaw s Big Fish Netflix Apple Disney A h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Nothing That a Cup of Coffee n 10 000 00 Won t Fi h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix McHOOKER s Pez Outlaw Netflix Apple Disney Am h,positive,1
RT Apple Google Covid 19 1 Covid 19,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Him Me n Psycho Lucy Netflix Apple Disney Ama h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix 2020 PEZ OUTLAW FOR PRESIDENT Netflix Apple h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix I m Tired Of Workin So Dam Hard To Be Poor Netfli h,negative,0
RT Get the Apple iPhone iPad iPod APP on your phone ready for tonight s TV Live P,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Maybe Today Netflix Apple Disney Amazon,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Rodeo Clown Livin The Dream Netflix Apple Amaz h,positive,1
RT Rodeo Clown Livin The Dream Netflix Apple Amaz,positive,1
My Latest AAPL Still Too Early to Buy Apple via,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Chuckwagon Dreams Netflix Apple Disney Amazon https,positive,1
RT Chuckwagon Dreams Netflix Apple Disney Amazon,positive,1
RT Me he tomado un tiempo para traducir la estrategia de Apple y Google contra el coronavirus Espero que os guste https,positive,1
RT iTunes Amazon 1500 RT Apple iTunes iTunes,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Guilt Trip 19 95 Netflix pezoutlaw Amazon https,positive,1
Siap Rekrut 1000 Karyawan Magang Selama Pandemi Covid 19 Apple COVID19 Coronavirus CoronaVirusUpdates,positive,1
RT WhoMakesTheCall breakingnews france24 RTnews nhk news AlJazeera bbc bbcnews tech Android npr nprnews KAG2,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Care n Feeding of Your Dreams Netflix Apple h,positive,1
RT iTunes Amazon 1500 RT Apple iTunes iTunes,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix A Jail Cell to Vietnam Netflix Apple Amazon Di h,negative,0
Apple is preparing a redesign of its top tier iPhones borrowing cues from the latest iPads,positive,1
Apple y Google colaboran en la tecnolog a para el rastreo de contactos del COVID 19,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Pez Corporate Racism amp Sexism pezoutlaw Netflix h,positive,1
Tecnologia Apple producir a la semana un mill n de mascarillas para personal sanitario Apple coronavirus,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Attack Of The Killer Ants My B Movie Life Netfl h,positive,1
apple redesigning the iphone this year with flat sides and smaller notch says report,negative,0
RT Apple Disney Amazon Netflix Attack Of The Killer Ants My B Movie Life Netfl,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Curse of Pez Outlaw Gold Apple Disney Amaz h,positive,1
Apple and Google join forces to develop Contact Tracing app against Coronavirus SecurityAffairs,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Can t Buy Me Love Pez Outlaw Disney Apple Ama h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Past Came Calling Netflix Apple Amazon Dis h,negative,0
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Black Santa Face plant Merlin Sweden pezoutlaw h,negative,0
RT Apple Disney Amazon Netflix Black Santa Face plant Merlin Sweden pezoutlaw,negative,0
RT Only a fool believes TimCrook when he speaks about privacy he added apple to nsa PRISM Watch their patents https,positive,1
RT Esim Apple iPhone,positive,1
RT Poscas de inter s banda Y tambi n para los que gustan de cuentitos ya que trata del Iron Fist no ese sino el otro,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix MISFIT s The Pez Outlaw Collection Apple Disney h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Rocks Float Netflix Apple Amazon Disney,positive,1
RT Rocks Float Netflix Apple Amazon Disney,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Tonight Show w Pez Outlaw Netflix Apple Am h,positive,1
RT AarogyaSetu inspires Google amp Apple India s Coronavirus indigenous tracker app is appreciated across world and wil,positive,1
They should also add COVID19 detection Apple AppleWatch,positive,1
RT The Tonight Show w Pez Outlaw Netflix Apple Am,positive,1
RT Only a fool believes TimCrook when he speaks about privacy he added apple to nsa PRISM Watch their patents https,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Waiting on Reality Netflix Apple Amazon Disney h,positive,1
Let s go denilo trendy cute loveit peace man friends fashion stayhome rayban apple happy,positive,1
RT Pez Outlaw Waiting on Reality Netflix Apple Amazon Disney,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Help I ve Fallen n I can t get up Netfli h,positive,1
RT Get the Apple iPhone iPad iPod APP on your phone ready for tonight s TV Live P,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Rocky Rangoo Netflix Apple Amazon Disney,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Slippage n Being Human Netflix Apple Amazon Dis h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Secrets Netflix Apple Amazon Disney,positive,1
Ascolta e Guarda Radio FM Faleria Twitch Apple Android,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix 1st Known Photo of Pez Outlaw Netflix Apple Ama h,positive,1
RT 1st Known Photo of Pez Outlaw Netflix Apple Ama,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix as Pez Outlaw Netflix pezoutlaw Amazon,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Hollywood or Bust Netflix Apple Amazon Disney https,positive,1
RT Ascolta e Guarda Radio FM Faleria Twitch Apple Android,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Training Your Mule by Bubbles Latoure pezoutlaw https,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus http,positive,1
RT Apple is working to bring Xcode on iOS14 and iPadOS14 according to prosser who was live on Gadget Cast on YouTube,positive,1
wow,positive,1
DINO MAKER Make Dinos and Levels to share indiegame gamedev indiedev retro indievideogames ios indiegames,positive,1
RT We ve All Worn A Pink Tutu At Some Point In Our Lives Netflix Apple Amazon Disney Some of us have worn many Pink Tutu s,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix We ve All Worn A Pink Tutu At Some Point In Our Li h,negative,0
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Andy Warhol Pez Outlaw Netflix Amazon pezoutl h,positive,1
Fantastic prize,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix FREAK SHOW Netflix Apple Amazon Disney,positive,1
LOPD y Derecho est disponible Gracias a covid19 apple,positive,1
RT FREAK SHOW Netflix Apple Amazon Disney,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Grab Your Tin Foil Hat Netflix Apple Amazon Di h,positive,1
RT Grab Your Tin Foil Hat Netflix Apple Amazon Disney,positive,1
RT New abstract wallpaper Free Edition art abstractart digitalart digitalartist ArtistOnT,positive,1
RT Lamy Coronavirus partenariat entre Apple et Google pour lancer un tra age mondial Les d tenteurs de smartphones Apple ou,positive,1
RT Sekret How Just Visiting A Site Could Have Hacked Your iPhone or MacBook Camera Cybersecurity camera security apple https,positive,1
NEW Apple Airpods Pro for UNDER RETAIL Only 235 coupon applies at checkout if it show,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Here s another chance to enter the Apple MacBook Pro Competition to Win this amazing prize Retweet amp Followus to en,positive,1
RT 50 OFF Sale You are gonna LOVE Leo THE PRINCE amp THE WEDDING PLANNER Kinde US Apple,positive,1
AirTag Sottile cover in pelle e MOLTO altro AirTag iPhone Apple AppleNews,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Apple is working to bring Xcode on iOS14 and iPadOS14 according to prosser who was live on Gadget Cast on YouTube,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix That s my story n I m stickin to it Netflix App h,positive,1
AirTag Sottile cover in pelle e MOLTO altro AirTag iPhone Apple AppleNews,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix round here it s Redneck Country Netflix pezoutla h,negative,0
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix 51 Sane Netflix Apple Amazon Disney,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Saddle Up n Put On Your Rain Poncho s Netflix Ap h,positive,1
iTunes Apple,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix What s My True Role Netflix Apple Amazon Disn h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Inoculating Against Celebrity Netflix Apple Amaz h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Comentary by Bubble s Latoure Netflix pezoutlaw h,positive,1
iTunes Apple,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Own Who You Are Netflix pezoutlaw Amazon,positive,1
RT AirTag Sottile cover in pelle e MOLTO altro AirTag iPhone Apple AppleNews AppleItalia AppleU,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix If you re not in the circus stay in the bleachers h,positive,1
RT My Latest AAPL Still Too Early to Buy Apple via,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix BOOOM My Head Just Exploded Did I miss an AARP m h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Would I give up today for a better yesterday Net h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix K R I P K E Y Netflix pezoutlaw Amazon,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix If It Hadn t Been For Netflix Apple Amazon Dis h,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Nick Nack Paddywack Netflix pezoutlaw Amazon https,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix 1 STOP Zombie Shop Netflix pezoutlaw Amazon https,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix 13 5 Rules Netflix pezoutlaw Amazon,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
iPhone Android ios Apple Google g 00,positive,1
RT Apple and Google join forces to develop Contact Tracing app against Coronavirus http,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT 50 OFF Sale You are gonna LOVE Leo THE PRINCE amp THE WEDDING PLANNER Kinde US Apple,positive,1
RT Apple Disney Amazon Netflix 13 5 Rules Netflix pezoutlaw Amazon,positive,1
iPhone9 iPhoneSE2 is coming soon Keep your screen scratch free for good Apple Screenprotector Scratch,positive,1
Coronavirus Apple and Google team up to contact trace Covid 19 Source Intela,positive,1
RT Google and Apple team up for contact tracing COVID 19 app ABC News via technology A,positive,1
RT Apple and Google want to turn your phone into a Covid tracking machine,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Buy Me A Boat Netflix pezoutlaw Amazon,positive,1
RT Here s another chance to enter the Apple MacBook Pro Competition to Win this amazing prize Retweet amp Followus to en,positive,1
HowtoPerfect Apple,positive,1
1 1 2 Apple,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Booby Hatch Netflix pezoutlaw Amazon,positive,1
RT BONPLAN ubaldi apple airpods2 iPhone11 iPhone11ProMax offre de bienvenue Gagnez 20euros sur votre premier acha,positive,1
RT Well if this doesn t scare u nothing will Google amp Apple team up to track infected amp warn people near them what could g,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix Hermitology Netflix Apple Amazon,positive,1
RT Hermitology Netflix Apple Amazon If left to my own devises I would make Howard Hughes look like an extrovert,positive,1
RT Coronavirus Apple and Google team up to contact trace Covid 19 Source Intela Intela,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix MOE RON Netflix pezoutlaw Amazon,positive,1
RT Pez Outlaw Notes From The Asylum Apple Disney Amazon Netflix The Sockology of Cell Phones Netflix Apple Amaz h,positive,1
RT Mx Apple y Google se unen para rastrear casos de coronavirus mediante el celular Alertar n a la,positive,1
RT Stay away from my phone and outta my business where does Hippa come in,positive,1
